@tick,ticktime
1,6.110025E7
2,6.5045625E7
3,2.8322208E7
4,3.2102291E7
5,7.2465708E7
6,7.6150333E7
7,3.3995417E7
8,2.6058708E7
9,4.2381667E7
10,5.1379083E7
11,5.0406208E7
12,4.8101416E7
13,4.854E7
14,5.1769833E7
15,6.7526667E7
16,6.4260542E7
17,2.4995625E7
18,5.1712084E7
19,4.4644583E7
20,6.4185291E7
21,3.4372625E7
22,4.6684625E7
23,6.3831917E7
24,3.9877041E7
25,5.0725833E7
26,5.0273791E7
27,5.4728834E7
28,7.2959208E7
29,3.8790042E7
30,2.9220625E7
31,5.09245E7
32,7.8944208E7
33,3.9159334E7
34,3.1521417E7
35,4.9339792E7
36,5.2345333E7
37,7.5074875E7
38,4.2820333E7
39,9.7758125E7
40,3.5409708E7
41,5.0115542E7
42,2.6869916E7
43,5.3930125E7
44,3.7613708E7
45,3.31735E7
46,4.3700792E7
47,5.0503E7
48,5.027225E7
49,4.8298E7
50,5.4025792E7
51,4.5812E7
52,7.4307875E7
53,2.8046292E7
54,4.8282708E7
55,5.0761417E7
56,4.8774958E7
57,5.1240375E7
58,1.10272042E8
59,1.8865833E7
60,4.1561542E7
61,4.4646875E7
62,3.3882167E7
63,5.9642791E7
64,7.9709625E7
65,3.8435792E7
66,3.7863417E7
67,5.4689E7
68,3.2811209E7
69,5.1727333E7
70,5.8959042E7
71,5.929725E7
72,6.7806166E7
73,1.6931875E7
74,4.3926958E7
75,5.7893458E7
76,4.3125042E7
77,5.2985833E7
78,4.6977208E7
79,5.1567167E7
80,4.7360791E7
81,4.642825E7
82,5.2064459E7
83,7.092875E7
84,4.2861125E7
85,3.9136709E7
86,4.6821625E7
87,5.2120334E7
88,5.37865E7
89,4.6343125E7
90,4.6856792E7
91,5.3263042E7
92,5.8122459E7
93,4.3278458E7
94,4.5530333E7
95,5.6695666E7
96,7.1117833E7
97,2.0632084E7
98,5.0740334E7
99,5.2621083E7
100,4.6490208E7
101,5.0126583E7
102,4.9746792E7
103,6.7296875E7
104,6.0061791E7
105,2.2877292E7
106,4.9727167E7
107,6.604625E7
108,4.0519625E7
109,4.9320875E7
110,4.4883083E7
111,4.9998625E7
112,6.5370917E7
113,4.4965709E7
114,4.7271292E7
115,6.263525E7
116,3.3951583E7
117,5.1481459E7
118,5.9014958E7
119,3.4199583E7
120,5.2810166E7
121,5.3927583E7
122,5.6315916E7
123,3.7080041E7
124,8.1022417E7
125,3.5797375E7
126,6.94415E7
127,1.7383208E7
128,4.9260167E7
129,5.601375E7
130,4.3169542E7
131,4.8643E7
132,4.8792958E7
133,5.2334875E7
134,4.7634541E7
135,5.5849167E7
136,4.407275E7
137,4.9988334E7
138,5.0126042E7
139,6.1883958E7
140,4.3319792E7
141,5.1717E7
142,6.8979709E7
143,3.7558333E7
144,3.6127833E7
145,6.1967541E7
146,4.6371333E7
147,4.2185792E7
148,5.0230583E7
149,7.86495E7
150,2.720125E7
151,5.3073375E7
152,5.0633834E7
153,4.5896083E7
154,4.5140083E7
155,6.1105041E7
156,5.1669708E7
157,4.8732958E7
158,4.076225E7
159,8.1169E7
160,2.3255583E7
161,4.5792625E7
162,5.5042166E7
163,5.173775E7
164,3.9293333E7
165,5.4236583E7
166,4.5362666E7
167,5.062325E7
168,5.2242167E7
169,4.7817292E7
170,4.9169667E7
171,5.0577375E7
172,9.6701041E7
173,2.802425E7
174,3.2043667E7
175,4.3396166E7
176,4.9287917E7
177,7.4266291E7
178,2.6302375E7
179,4.9164625E7
180,5.1627709E7
181,4.8442334E7
182,7.4971792E7
183,2.8717375E7
184,4.6025708E7
185,5.3345542E7
186,4.6779167E7
187,4.9871125E7
188,5.0654458E7
189,5.9438375E7
190,1.12879E8
191,1.2278666E7
192,1.7461792E7
193,6.2081209E7
194,3.7907834E7
195,4.761525E7
196,6.1273334E7
197,6.7453042E7
198,3.149825E7
199,5.6072292E7
200,4.5872625E7
201,7.6525709E7
